year,country,in_degree,out_degree,betweenness,pagerank,degree,in_strength,out_strength
1990,United States of America*,0.2575107296137339,0.6781115879828327,0.0,0.12051458026400853,218,23266147.0,1725058.0
1990,Australia*,0.8326180257510729,0.39914163090128757,0.17300112612612614,0.05012632671785218,287,3991501.0,250909.0
1990,Canada,0.5536480686695279,0.48068669527896996,0.025517241379310343,0.04512579727970443,241,4251056.0,1114493.0
1990,United Kingdom*,0.14163090128755365,0.5879828326180258,0.0,0.03753486790124004,170,3664896.0,3869251.0
1990,France*,0.22746781115879827,0.5665236051502146,0.012873563218390805,0.027849761735685506,185,5890023.0,1413608.0
1990,Italy,0.6137339055793991,0.44206008583690987,0.01287278657968313,0.024974752739368312,246,1529367.0,3354372.0
1990,Germany,0.11587982832618025,0.5236051502145923,0.0,0.02085131726847317,149,6960112.0,3870620.0
1990,Russian Federation,0.18454935622317598,0.4034334763948498,0.0,0.020371916486903223,137,11524948.0,12427364.0
1990,Mexico,0.33476394849785407,0.22317596566523606,0.0,0.017098685098476646,130,701513.0,4588874.0
1990,Puerto Rico*,0.19742489270386265,0.13733905579399142,0.0,0.016726291344536827,78,321909.0,922587.0
1990,New Zealand*,0.21030042918454936,0.24892703862660945,0.004310344827586207,0.015523272136274972,107,526369.0,329134.0
1990,State of Palestine,0.06437768240343347,0.17167381974248927,0.0,0.015172815137512594,55,288332.0,1824634.0
1990,Argentina,0.3133047210300429,0.2575107296137339,0.001281453867660764,0.014530934645554118,133,1647935.0,406466.0
1990,India,0.16738197424892703,0.5021459227467812,0.0042520969245107175,0.013227976664130977,156,7212791.0,6575416.0
1990,South Africa,0.5150214592274678,0.296137339055794,0.09005747126436782,0.012029974535432602,189,1285707.0,295392.0
1990,Greece,0.8969957081545065,0.22746781115879827,0.09970402298850575,0.011636512886969694,262,618139.0,878261.0
1990,Saudi Arabia,0.08583690987124463,0.18025751072961374,0.0,0.01152765033234751,62,4484868.0,73557.0
1990,Côte d'Ivoire,0.047210300429184546,0.15021459227467812,0.0,0.011340109528537307,46,1822374.0,353717.0
1990,Ukraine*,0.13304721030042918,0.30042918454935624,0.00425287356321839,0.010570715109460137,101,6892920.0,5528990.0
1990,Guam*,0.05150214592274678,0.030042918454935622,0.0,0.010528667614561237,19,69755.0,1539.0
1990,Spain*,0.18025751072961374,0.351931330472103,0.00011494252873563218,0.010186873755295736,124,813588.0,1374696.0
1990,Israel,0.2575107296137339,0.21888412017167383,0.008448275862068965,0.009939417766398504,111,1622505.0,263368.0
1990,Sweden,0.24034334763948498,0.26180257510729615,0.019051724137931034,0.009654093947069542,117,784283.0,114669.0
1990,Switzerland,0.19742489270386265,0.3133047210300429,0.0,0.009633892138279547,119,1252320.0,396651.0
1990,Belgium,0.3562231759656652,0.30472103004291845,0.03809412861136999,0.008576278592326046,154,944340.0,312709.0
1990,Northern Mariana Islands*,0.055793991416309016,0.017167381974248927,0.0,0.008362644976899323,17,26593.0,2229.0
1990,Venezuela (Bolivarian Republic of),0.4892703862660944,0.21888412017167383,0.008333333333333333,0.008066597315625016,165,1025009.0,216183.0
1990,Libya,0.36909871244635195,0.15879828326180256,0.012758620689655172,0.007917725757295206,123,457075.0,78841.0
1990,Burkina Faso,0.03862660944206009,0.07725321888412018,0.0,0.007708863780747527,27,349652.0,1015890.0
1990,Jordan,0.034334763948497854,0.17167381974248927,0.0042520969245107175,0.007680232065725495,48,1131529.0,265920.0
1990,Brazil,0.4291845493562232,0.3218884120171674,0.06187827297741091,0.007309665356707902,175,803218.0,446721.0
1990,China,0.4206008583690987,0.5879828326180258,0.009494408201304753,0.006934716994769638,235,518395.0,3990935.0
1990,"China, Hong Kong SAR",0.12875536480686695,0.11587982832618025,0.0041954022988505745,0.006362299252285374,57,2218473.0,569282.0
1990,Türkiye,0.19313304721030042,0.3218884120171674,0.012586206896551724,0.006184730932308151,120,1159415.0,1862302.0
1990,Netherlands*,0.1759656652360515,0.3605150214592275,0.01689655172413793,0.006086980872757812,125,1194306.0,482951.0
1990,Denmark*,0.721030042918455,0.2317596566523605,0.06608661740558291,0.00607471129076117,222,235918.0,124563.0
1990,Pakistan,0.03862660944206009,0.34763948497854075,0.0,0.0057627577598029014,90,6208204.0,3131865.0
1990,Japan,0.2575107296137339,0.3605150214592275,0.021091954022988506,0.0056143862053187445,144,1050475.0,710783.0
1990,United States Virgin Islands*,0.09012875536480687,0.060085836909871244,0.0,0.005538903411970869,35,51970.0,2348.0
1990,Kazakhstan,0.12017167381974249,0.15021459227467812,0.00425287356321839,0.005518554242514815,63,3289058.0,3178221.0
1990,Portugal,0.5493562231759657,0.27896995708154504,0.21486932129173503,0.005411823182383882,193,435782.0,1589830.0
1990,Norway*,0.7510729613733905,0.17167381974248927,0.04299860205032619,0.005338635721564362,215,192587.0,88450.0
1990,Sudan,0.060085836909871244,0.17167381974248927,0.0,0.005004875648523888,54,1402896.0,465978.0
1990,Dominican Republic,0.4248927038626609,0.2145922746781116,0.023230842911877388,0.004883972870771332,149,291151.0,462285.0
1990,New Caledonia*,0.07296137339055794,0.02575107296137339,0.0,0.004788062749241699,23,37673.0,3957.0
1990,United Arab Emirates,0.1459227467811159,0.12017167381974249,0.0,0.004628916976174803,62,1302298.0,61137.0
1990,Qatar,0.1459227467811159,0.0815450643776824,0.008735632183908045,0.00449711401326883,53,215508.0,11435.0
1990,Senegal,0.09442060085836909,0.20600858369098712,0.0,0.004352532523853035,70,270410.0,325275.0
1990,Bangladesh,0.07725321888412018,0.23605150214592274,0.004310344827586207,0.0042862646961230174,73,881617.0,5076540.0
1990,Guadeloupe*,0.1072961373390558,0.04291845493562232,0.0,0.004254760566740998,35,65944.0,7510.0
1990,Sint Maarten (Dutch part)*,0.1459227467811159,0.034334763948497854,0.004310344827586207,0.004127800991943289,42,23861.0,1108.0
1990,Martinique*,0.06866952789699571,0.05150214592274678,0.0,0.004123483274774232,28,38705.0,10837.0
1990,Ireland,0.11587982832618025,0.2317596566523605,0.008448275862068965,0.004063219169174016,81,227783.0,927001.0
1990,Curaçao*,0.18884120171673818,0.055793991416309016,0.021206896551724138,0.0040089010199200305,57,43150.0,3029.0
1990,Poland,0.26609442060085836,0.3218884120171674,0.04567432950191572,0.004008040253451308,137,1127393.0,2317607.0
1990,Paraguay,0.07725321888412018,0.12875536480686695,0.0,0.003982894262798567,48,195884.0,321268.0
1990,Singapore,0.047210300429184546,0.17167381974248927,0.0,0.003882239464773121,51,729377.0,156619.0
1990,Serbia*,0.17167381974248927,0.15021459227467812,0.00017474370922646785,0.0038722388806653506,75,1064614.0,366262.0
